,self_own_assets,poor_level,poor_level_5y_ago,poor_level_5y_later,job_satisfaction,working hours,life_satisfaction
112,1,1.0,1.0,1.0,2.0,60.0,2.0
113,1,1.0,1.0,1.0,3.0,63.0,5.0
114,1,1.0,1.0,1.0,3.0,63.0,5.0
115,1,6.0,1.0,6.0,4.0,2.0,3.0
116,1,6.0,1.0,6.0,4.0,2.0,3.0
117,1,6.0,1.0,6.0,4.0,2.0,3.0
118,1,6.0,1.0,6.0,4.0,2.0,3.0
119,1,6.0,1.0,6.0,4.0,2.0,3.0
120,1,6.0,1.0,6.0,4.0,2.0,3.0
121,1,1.0,1.0,6.0,2.0,35.0,3.0
122,1,1.0,1.0,6.0,2.0,35.0,3.0
123,1,1.0,1.0,6.0,2.0,35.0,3.0
124,1,1.0,1.0,6.0,2.0,35.0,3.0
125,1,1.0,1.0,6.0,2.0,35.0,3.0
126,1,1.0,1.0,6.0,2.0,35.0,3.0
127,1,1.0,1.0,6.0,2.0,35.0,3.0
128,1,1.0,1.0,1.0,3.0,35.0,3.0
129,1,1.0,1.0,1.0,3.0,35.0,3.0
130,1,1.0,1.0,1.0,3.0,35.0,3.0
131,1,1.0,1.0,1.0,3.0,35.0,3.0
132,1,1.0,6.0,6.0,2.0,7.0,2.0
133,1,1.0,6.0,6.0,2.0,7.0,2.0
134,1,1.0,6.0,6.0,2.0,7.0,2.0
135,1,1.0,6.0,6.0,2.0,7.0,2.0
136,1,1.0,6.0,6.0,2.0,7.0,2.0
137,1,1.0,1.0,1.0,1.0,56.0,3.0
138,1,1.0,1.0,1.0,1.0,56.0,3.0
139,1,1.0,1.0,1.0,1.0,56.0,3.0
140,1,1.0,1.0,1.0,1.0,56.0,3.0
141,1,1.0,1.0,6.0,2.0,48.0,2.0
142,1,1.0,1.0,6.0,2.0,48.0,2.0
143,1,1.0,1.0,6.0,2.0,48.0,2.0
144,1,1.0,1.0,6.0,2.0,48.0,2.0
145,1,1.0,1.0,6.0,2.0,48.0,2.0
146,1,1.0,1.0,6.0,2.0,48.0,2.0
147,1,1.0,1.0,6.0,2.0,48.0,2.0
148,1,1.0,1.0,6.0,2.0,48.0,2.0
149,1,1.0,1.0,1.0,2.0,16.0,2.0
150,1,1.0,1.0,1.0,2.0,16.0,2.0
151,1,1.0,1.0,1.0,2.0,16.0,2.0
152,1,1.0,1.0,1.0,2.0,16.0,2.0
153,1,1.0,1.0,1.0,3.0,21.0,3.0
154,1,1.0,1.0,1.0,3.0,21.0,3.0
155,1,1.0,1.0,1.0,3.0,21.0,3.0
156,1,1.0,1.0,1.0,3.0,21.0,3.0
157,1,1.0,1.0,1.0,2.0,54.0,3.0
158,1,1.0,1.0,1.0,2.0,54.0,3.0
159,1,1.0,1.0,1.0,2.0,54.0,3.0
160,1,1.0,1.0,1.0,2.0,54.0,3.0
161,1,1.0,1.0,1.0,2.0,12.0,2.0
162,1,1.0,1.0,1.0,2.0,12.0,2.0
163,1,6.0,6.0,6.0,1.0,40.0,1.0
164,1,6.0,6.0,6.0,1.0,40.0,1.0
165,1,6.0,6.0,6.0,1.0,40.0,1.0
166,1,6.0,6.0,6.0,1.0,40.0,1.0
167,1,6.0,6.0,6.0,1.0,40.0,1.0
168,1,6.0,6.0,6.0,1.0,40.0,1.0
169,1,6.0,6.0,6.0,1.0,40.0,1.0
170,1,6.0,6.0,6.0,1.0,40.0,1.0
171,1,1.0,1.0,1.0,2.0,28.0,4.0
172,1,1.0,1.0,1.0,2.0,28.0,4.0
173,1,1.0,1.0,1.0,2.0,28.0,4.0
174,1,1.0,1.0,1.0,2.0,28.0,4.0
175,1,1.0,1.0,1.0,2.0,28.0,4.0
176,1,1.0,1.0,1.0,2.0,28.0,4.0
177,1,6.0,6.0,6.0,2.0,50.0,3.0
178,1,6.0,6.0,6.0,2.0,50.0,3.0
179,1,6.0,6.0,6.0,2.0,50.0,3.0
180,1,6.0,6.0,6.0,2.0,50.0,3.0
181,1,6.0,6.0,6.0,2.0,50.0,3.0
182,1,1.0,1.0,1.0,2.0,28.0,4.0
183,1,1.0,1.0,1.0,2.0,28.0,4.0
184,1,1.0,1.0,1.0,2.0,28.0,4.0
185,1,1.0,1.0,1.0,2.0,28.0,4.0
186,1,6.0,6.0,6.0,2.0,36.0,1.0
187,1,6.0,6.0,6.0,2.0,36.0,1.0
188,1,6.0,6.0,6.0,2.0,36.0,1.0
189,1,1.0,1.0,1.0,2.0,8.0,2.0
190,1,1.0,1.0,1.0,2.0,8.0,2.0
191,1,1.0,1.0,1.0,2.0,8.0,2.0
192,1,1.0,1.0,1.0,2.0,8.0,2.0
193,1,1.0,1.0,1.0,2.0,8.0,2.0
194,1,1.0,1.0,1.0,2.0,8.0,2.0
195,1,1.0,1.0,1.0,2.0,8.0,2.0
196,1,1.0,1.0,1.0,2.0,8.0,2.0
197,1,1.0,1.0,1.0,2.0,21.0,4.0
198,1,1.0,1.0,1.0,2.0,21.0,4.0
199,1,1.0,1.0,1.0,2.0,42.0,3.0
200,1,1.0,1.0,1.0,2.0,42.0,3.0
201,1,1.0,1.0,1.0,2.0,42.0,3.0
202,1,1.0,1.0,1.0,2.0,42.0,3.0
203,1,1.0,1.0,6.0,2.0,35.0,5.0
204,1,1.0,1.0,6.0,2.0,35.0,5.0
205,1,1.0,1.0,6.0,2.0,35.0,5.0
206,1,1.0,1.0,6.0,2.0,35.0,5.0
207,1,1.0,1.0,6.0,2.0,35.0,5.0
208,1,1.0,1.0,6.0,2.0,35.0,5.0
209,1,1.0,1.0,6.0,2.0,35.0,5.0
210,1,1.0,1.0,1.0,4.0,32.0,2.0
211,1,1.0,1.0,1.0,4.0,32.0,2.0
212,1,1.0,1.0,1.0,4.0,32.0,2.0
213,1,1.0,1.0,1.0,4.0,32.0,2.0
214,1,1.0,1.0,1.0,4.0,32.0,2.0
215,1,1.0,1.0,1.0,4.0,32.0,2.0
216,3,1.0,1.0,1.0,4.0,32.0,2.0
217,1,1.0,1.0,1.0,2.0,14.0,3.0
218,1,1.0,1.0,1.0,2.0,14.0,3.0
219,1,1.0,1.0,1.0,2.0,14.0,3.0
220,1,1.0,1.0,1.0,2.0,14.0,3.0
221,1,1.0,1.0,1.0,2.0,14.0,3.0
222,1,1.0,1.0,6.0,3.0,3.0,4.0
223,1,1.0,1.0,6.0,3.0,3.0,4.0
224,1,1.0,1.0,1.0,3.0,12.0,4.0
225,1,1.0,1.0,1.0,3.0,12.0,4.0
226,1,1.0,1.0,1.0,3.0,12.0,4.0
227,1,1.0,1.0,1.0,3.0,12.0,4.0
228,1,1.0,1.0,1.0,3.0,12.0,4.0
229,1,1.0,1.0,1.0,3.0,12.0,4.0
230,1,1.0,1.0,1.0,3.0,12.0,4.0
231,1,1.0,1.0,1.0,3.0,12.0,4.0
232,1,1.0,1.0,1.0,3.0,12.0,4.0
233,1,1.0,1.0,1.0,2.0,42.0,2.0
234,1,1.0,1.0,1.0,2.0,42.0,2.0
235,1,1.0,1.0,1.0,2.0,42.0,2.0
236,1,1.0,1.0,1.0,2.0,42.0,2.0
237,1,1.0,1.0,1.0,2.0,20.0,2.0
238,1,1.0,1.0,1.0,2.0,20.0,2.0
239,1,1.0,1.0,1.0,2.0,20.0,2.0
240,1,1.0,1.0,1.0,2.0,20.0,2.0
241,1,1.0,1.0,1.0,2.0,35.0,4.0
242,1,1.0,1.0,1.0,2.0,35.0,4.0
243,1,1.0,1.0,1.0,2.0,35.0,4.0
244,1,1.0,1.0,1.0,2.0,8.0,4.0
245,1,1.0,1.0,1.0,2.0,8.0,4.0
246,1,1.0,1.0,1.0,2.0,8.0,4.0
247,1,1.0,1.0,1.0,2.0,8.0,4.0
248,1,1.0,1.0,1.0,2.0,30.0,4.0
249,1,1.0,1.0,1.0,2.0,30.0,4.0
250,1,1.0,1.0,1.0,2.0,30.0,4.0
251,1,1.0,1.0,1.0,2.0,30.0,4.0
252,1,1.0,1.0,6.0,2.0,50.0,2.0
253,1,1.0,1.0,6.0,2.0,50.0,2.0
254,1,1.0,1.0,6.0,2.0,50.0,2.0
255,1,1.0,1.0,6.0,2.0,50.0,2.0
256,1,1.0,1.0,1.0,3.0,2.0,4.0
257,1,1.0,1.0,1.0,3.0,2.0,4.0
258,1,1.0,1.0,1.0,2.0,11.0,3.0
259,1,1.0,1.0,1.0,2.0,11.0,3.0
260,1,1.0,1.0,1.0,2.0,11.0,3.0
261,1,1.0,1.0,1.0,2.0,42.0,3.0
262,1,1.0,1.0,1.0,2.0,42.0,3.0
263,1,1.0,1.0,1.0,2.0,42.0,3.0
264,1,1.0,1.0,1.0,2.0,42.0,3.0
265,1,1.0,1.0,1.0,2.0,56.0,2.0
266,1,1.0,1.0,1.0,2.0,56.0,2.0
267,1,1.0,1.0,1.0,2.0,56.0,2.0
268,1,1.0,1.0,1.0,2.0,25.0,3.0
269,1,1.0,1.0,1.0,2.0,25.0,3.0
270,1,1.0,1.0,1.0,2.0,25.0,3.0
271,1,1.0,1.0,1.0,2.0,25.0,3.0
272,1,1.0,1.0,1.0,2.0,25.0,3.0
273,1,1.0,1.0,1.0,2.0,25.0,3.0
274,1,1.0,1.0,1.0,2.0,25.0,3.0
275,1,1.0,1.0,6.0,2.0,21.0,3.0
276,1,1.0,1.0,6.0,2.0,21.0,3.0
277,1,1.0,1.0,6.0,2.0,21.0,3.0
278,1,1.0,1.0,6.0,2.0,21.0,3.0
279,1,1.0,1.0,6.0,2.0,21.0,3.0
280,1,1.0,1.0,6.0,2.0,21.0,3.0
281,1,1.0,1.0,1.0,4.0,56.0,4.0
282,3,1.0,1.0,1.0,4.0,56.0,4.0
283,1,1.0,1.0,1.0,4.0,56.0,4.0
284,1,1.0,1.0,1.0,4.0,56.0,4.0
285,1,1.0,1.0,1.0,3.0,12.0,4.0
286,1,1.0,1.0,1.0,3.0,12.0,4.0
287,1,1.0,1.0,1.0,3.0,12.0,4.0
288,1,1.0,1.0,1.0,3.0,12.0,4.0
289,1,1.0,1.0,1.0,3.0,12.0,4.0
290,1,1.0,1.0,1.0,3.0,12.0,4.0
291,1,1.0,1.0,1.0,3.0,12.0,4.0
292,1,1.0,1.0,6.0,2.0,38.0,4.0
293,1,1.0,1.0,6.0,2.0,38.0,4.0
294,1,1.0,1.0,6.0,2.0,38.0,4.0
295,1,1.0,1.0,6.0,2.0,38.0,4.0
296,1,1.0,1.0,6.0,2.0,38.0,4.0
297,1,1.0,1.0,6.0,2.0,38.0,4.0
298,1,1.0,1.0,1.0,2.0,24.0,3.0
299,1,1.0,1.0,1.0,2.0,24.0,3.0
300,1,1.0,1.0,1.0,2.0,24.0,3.0
301,1,6.0,6.0,6.0,1.0,35.0,4.0
302,1,6.0,6.0,6.0,1.0,35.0,4.0
303,1,6.0,6.0,6.0,1.0,35.0,4.0
304,1,6.0,6.0,6.0,1.0,35.0,4.0
305,1,1.0,1.0,1.0,2.0,49.0,4.0
